top - 19:47:56 up  1:44,  1 user,  load average: 0.08, 0.03, 0.04
Tasks: 311 total,   1 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.7 us,  3.3 sy,  0.0 ni, 80.0 id, 10.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.8 total,    217.1 free,   2033.6 used,   1911.8 buff/cache     
MiB Swap:   3731.0 total,   3730.9 free,      0.1 used.   1834.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2920 bobby     20   0  701620  14856  11936 S   8.3   0.4   0:00.42 xdg-des+
   7253 sysadmin  20   0   14508   5636   3488 R   8.3   0.1   0:00.03 top
      1 root      20   0   23068  14388   9816 S   0.0   0.4   0:03.29 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:01.77 rcu_pre+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.07 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.67 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.24 ksoftir+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
